name,year,value,code,rate,pop,,
Alabama,1994,0.00001933844527894580,1,86,4447100,,
Arizona,1994,0.00005964177512633920,4,306,5130632,,
Arkansas,1994,0.00004114610608214260,5,110,2673400,,
California,1994,0.00002267383033739600,6,768,33871648,,
Colorado,1994,0.00002766630529977140,8,119,4301261,,
Connecticut,1994,0.00002554642181253330,9,87,3405565,,
Delaware,1994,0.00000127616130678918,10,1,783600,,
District of Columbia,1994,0.00000174807144018362,11,1,572059,,
Florida,1994,0.00000982331915813779,12,157,15982378,,
Georgia,1994,0.00020607215359325900,13,1687,8186453,,
Idaho,1994,0.00002782172149993080,16,36,1293953,,
Illinois,1994,0.00000096623857734897,17,12,12419293,,
Indiana,1994,0.00000065784226093807,18,4,6080485,,
Iowa,1994,0.00000000000000000000,19,0,2926324,,
Kansas,1994,0.00000446359159922304,20,12,2688418,,
Kentucky,1994,0.00003389604898251240,21,137,4041769,,
Louisiana,1994,0.00001790119257744950,22,80,4468976,,
Maine,1994,0.00000078436109474847,23,1,1274923,,
Maryland,1994,0.00000188804426179924,24,10,5296486,,
Massachusetts,1994,0.00000000000000000000,25,0,6349097,,
Michigan,1994,0.00000794893043619303,26,79,9938444,,
Minnesota,1994,0.00006931628328934830,27,341,4919479,,
Mississippi,1994,0.00070975140069562000,28,2019,2844658,,
Missouri,1994,0.00009257917172381880,29,518,5595211,,
Montana,1994,0.00003325223482728230,30,30,902195,,
Nebraska,1994,0.00000058436371264966,31,1,1711263,,
Nevada,1994,0.00000800697808139794,32,16,1998257,,
New Hampshire,1994,0.00000809201593156097,33,10,1235786,,
New Jersey,1994,0.00006595874904181550,34,555,8414350,,
New Mexico,1994,0.00001759163869412870,35,32,1819046,,
New York,1994,0.00000094854376662619,36,18,18976457,,
North Carolina,1994,0.00014336627237628900,37,1154,8049313,,
North Dakota,1994,0.00020710059171597600,38,133,642200,,
Ohio,1994,0.00000132122038484507,39,15,11353140,,
Oklahoma,1994,0.00008780944134068500,40,303,3450654,,
Oregon,1994,0.00003215059103016050,41,110,3421399,,
Pennsylvania,1994,0.00000040713117945740,42,5,12281054,,
Rhode Island,1994,0.00000000000000000000,44,0,1048319,,
South Carolina,1994,0.00001844461083366650,45,74,4012012,,
South Dakota,1994,0.00003841853416070080,46,29,754844,,
Tennessee,1994,0.00000738230107379084,47,42,5689283,,
Texas,1994,0.00000815276556195095,48,170,20851820,,
Utah,1994,0.00000806029458585535,49,18,2233169,,
Vermont,1994,0.00000492750814270721,50,3,608827,,
Virginia,1994,0.00000324926909104523,51,23,7078515,,
Washington,1994,0.00001662673704866260,53,98,5894121,,
West Virginia,1994,0.00025824732462407600,54,467,1808344,,
Wisconsin,1994,0.00003281332295487700,55,176,5363675,,
Wyoming,1994,0.00001417629642230780,56,7,493782,,
Alabama,1995,0.00003058172741786780,1,136,4447100,,
Arizona,1995,0.00008186125997732830,4,420,5130632,,
Arkansas,1995,0.00006134510361337620,5,164,2673400,,
California,1995,0.00002937560050222530,6,995,33871648,,
Colorado,1995,0.00001580931731415510,8,68,4301261,,
Connecticut,1995,0.00000969002206682298,9,33,3405565,,
Delaware,1995,0.00000510464522715671,10,4,783600,,
District of Columbia,1995,0.00000524421432055085,11,3,572059,,
Florida,1995,0.00000800882071491489,12,128,15982378,,
Georgia,1995,0.00021156903972941600,13,1732,8186453,,
Idaho,1995,0.00001468368634718570,16,19,1293953,,
Illinois,1995,0.00000152987774746920,17,19,12419293,,
Indiana,1995,0.00000197352678281420,18,12,6080485,,
Iowa,1995,0.00000068345131981284,19,2,2926324,,
Kansas,1995,0.00000000000000000000,20,0,2688418,,
Kentucky,1995,0.00003439088181437390,21,139,4041769,,
Louisiana,1995,0.00001991507674241260,22,89,4468976,,
Maine,1995,0.00001568722189496930,23,20,1274923,,
Maryland,1995,0.00000415369737595832,24,22,5296486,,
Massachusetts,1995,0.00000000000000000000,25,0,6349097,,
Michigan,1995,0.00000714397545531272,26,71,9938444,,
Minnesota,1995,0.00007236538665984750,27,356,4919479,,
Mississippi,1995,0.00104054687769145000,28,2960,2844658,,
Missouri,1995,0.00013440065084230100,29,752,5595211,,
Montana,1995,0.00001662611741364120,30,15,902195,,
Nebraska,1995,0.00000175309113794899,31,3,1711263,,
